discordUsername, faceitID, discordID
RYME_TK#3393
Zander#3574
Mosski#8364
Nigga#9815
w0w0wee#2443
Rodney#0510
Shirase#8769
Rav#5085
Cayce#4241
Fatplumber#0275
Jon#2857
fowl#0728
Cono434#3909
criztensen#8386
Chores#8870
anh#3285
Ivan#1537
Ottaslays#4196
Cazza#3716
TheCrynek#4420
computerlegs#7840
jezang#0769
giggity#8606
Totem#9853
Rythm#3722
10 Man Bot#3026
Starlo#4322
Riftel99#3612
george#8596
Samz#7473
destroyersk5#9732
Warren#1109
RAMBO#1572
Nafi#1336
MTeegra#4027
Distrixben#1054
Tw0p$#7874
Kermitting Scooterside ♿#5034
maxphat#2328
Spudsq#4780
Whippyking#5901
Stosh#6394,Stosh,208809799347863554
Kbisat#0782
Moxy#7716
samway#9817
babyneutron#3329
yoyo Snepai#7135
MieO#1713
オーウェン#0228
raychippy#5105
feNix#4685
Petes#2150
Apple#9724
shazzy#6817
Jolty#0923
blackpearl#0369
slick#0982
onebyone#5191
PZEDiscord1#4476
coupdegrace#5738
Yarksmate#6329
MadMike#7395
Rogęr#9407
PimplyScrotum#4308
towski#2808
Kaladin#5751
Milky#4564
azog#4068
mastcks#7706
Frozen#9273
blazin#4576
BeezKneez#9107
serquest#7186
wahidfayad#4534
Mechx#7443
stockz#6451
Nicholsonn12#7636
Jordstar#3694
razeo#7619
fastflex#6345
Vid#1490
viridian#5659
daw00d#4132
Sleazebaggano#0175
angryeBB#7156
Lev2g#2839
Avast#9216
manyosha#1653
Big Daddy#9555
saldi#4199
♛ZєяTє¢™ツ#2406
fish#0137
censor#0866
Hamsters#8290
blurrberryz#1605
Melissa#4337
WittOn_#9219
MrPhilly#5694
boz#0790
HAWX#4569
Robert#4383
RazoR#4262
Biggie#5649
Andehhz#4010
Suwu#9700
gla#0415
Flape#7345
CaliiBer#7567
wots#0398
Bradley#0218
DoX King#4339
BaBa Yaga#7036
shoxie.RED#9110
boz#5675
Illegal Korean#3103
Jaydo#0829
Expired#5986
αlpha centauri ♕#1762
Pwnisher#5859
Mango Man#5157
Jai#9945
wontonz#2035
AlexwaHD#0151
dr1eN#5867
Shrub#1476
mystertipsy#4686
Derp#7638
Cashew#4641
